Sample	Taxonomy	Count
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Negativicutes(1.00),o:Acidaminococcales(1.00),f:Acidaminococcaceae(1.00),g:Phascolarctobacterium(1.00),s:uncultured Veillonellaceae bacterium(1.00)	136
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(1.00),o:Oscillospirales(1.00),f:Oscillospiraceae(0.98),g:NK4A214 group(0.95),s:uncultured bacterium(0.96)	133
FrozenWWsample	k:Bacteria(1.00),p:Desulfobacterota(1.00),c:Desulfuromonadia(1.00),o:Geobacterales(1.00),f:Geobacteraceae(1.00),g:Geobacter(0.99),s:uncultured bacterium(1.00)	129
FrozenWWsample	k:Bacteria(1.00),p:Actinobacteriota(0.91),c:Actinobacteria(0.91),o:Corynebacteriales(0.91),f:Corynebacteriaceae(0.91),g:Corynebacterium(0.91),s:uncultured bacterium(0.91)	128
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(0.98),o:Oscillospirales(0.92),f:Oscillospiraceae(0.92),g:UCG-002(0.86),s:uncultured bacterium(0.80)	128
FrozenWWsample	k:Bacteria(1.00),p:Fusobacteriota(1.00),c:Fusobacteriia(1.00),o:Fusobacteriales(1.00),f:Leptotrichiaceae(1.00),g:Hypnocyclicus(1.00),s:uncultured Fusobacteria bacterium(1.00)	128
FrozenWWsample	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Bacteroidaceae(0.96),g:Bacteroides(0.96),s:uncultured bacterium(0.67)	127
FrozenWWsample	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Flavobacteriales(1.00),f:Weeksellaceae(1.00),g:uncultured Wautersiella sp.(0.63)	121
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(1.00),o:Lachnospirales(0.93),f:Lachnospiraceae(0.93),g:Lachnospiraceae UCG-008(0.80),s:uncultured bacterium(0.96)	105
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(0.98),c:Bacilli(0.98),o:Lactobacillales(0.96),f:Aerococcaceae(0.96),g:Abiotrophia(0.96),s:uncultured bacterium(0.27)	102
FrozenWWsample	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Marinifilaceae(1.00),g:Odoribacter(1.00),s:uncultured bacterium(0.60)	98
FrozenWWsample	k:Bacteria(1.00),p:Campylobacterota(1.00),c:Campylobacteria(1.00),o:Campylobacterales(1.00),f:Arcobacteraceae(0.91),g:uncultured(0.76),s:uncultured Epsilonproteobacteria bacterium(0.26)	96
FrozenWWsample	k:Bacteria(1.00),p:Proteobacteria(0.99),c:Gammaproteobacteria(0.99),o:Burkholderiales(0.99),f:Aquaspirillaceae(0.63),g:Rivicola(0.62),s:metagenome(0.57)	96
FrozenWWsample	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Paludibacteraceae(0.74),g:Paludibacter(0.68),s:uncultured bacterium(0.90)	94
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(1.00),o:Lachnospirales(0.88),f:Lachnospiraceae(0.88),g:Agathobacter(0.51),s:uncultured organism(0.10)	94
FrozenWWsample	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Burkholderiales(1.00),f:Aquaspirillaceae(0.95),g:Rivicola(0.95),s:Rivicola pingtungensis(0.48)	94
FrozenWWsample	k:Bacteria(1.00),p:Bacteroidota(0.95),c:Bacteroidia(0.95),o:Bacteroidales(0.95),f:Bacteroidaceae(0.94),g:Bacteroides(0.94),s:uncultured bacterium(0.75)	93
FrozenWWsample	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Burkholderiales(1.00),f:Rhodocyclaceae(1.00),g:Dechloromonas(0.95),s:uncultured bacterium(0.80)	92
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(0.98),c:Clostridia(0.98),o:Lachnospirales(0.95),f:Lachnospiraceae(0.95),g:Agathobacter(0.37),s:uncultured bacterium(0.96)	91
FrozenWWsample	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Paludibacteraceae(0.39),g:Paludibacter(0.37),s:Paludibacter propionicigenes(0.14)	90
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(0.34),c:Clostridia(0.34),o:Lachnospirales(0.34),f:Lachnospiraceae(0.34),g:Lachnospiraceae UCG-004(0.33),s:uncultured bacterium(0.85)	87
FrozenWWsample	k:Bacteria(1.00),p:Actinobacteriota(0.57),c:Actinobacteria(0.57),o:Corynebacteriales(0.57),f:Corynebacteriaceae(0.57),g:Corynebacterium(0.57),s:uncultured bacterium(0.94)	85
